age,'workclass','fnlwgt','education','education-num','marital-status','occupation','relationship','race','sex','capital-gain','capital-loss','hours-per-week','native-country','income'
34,'Private',509364,'HS-grad',9,'Divorced','Machine-op-inspct','Not-in-family','White','Male',0,0,30,'United-States','<=50K'
26,'Private',118497,'HS-grad',9,'Married-civ-spouse','Transport-moving','Husband','White','Male',0,0,50,'United-States','<=50K'
35,'Private',194690,'7th-8th',4,'Divorced','Tech-support','Unmarried','White','Female',0,0,40,'United-States','<=50K'
40,'Private',193882,'Assoc-voc',11,'Never-married','Machine-op-inspct','Own-child','White','Male',0,0,40,'United-States','<=50K'
64,'Private',182979,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'United-States','<=50K'
56,'Private',147202,'Some-college',10,'Divorced','Adm-clerical','Not-in-family','White','Female',0,0,45,'Germany','<=50K'
22,'Private',136873,'Some-college',10,'Never-married','Craft-repair','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
35,'Private',223514,'Bachelors',13,'Married-civ-spouse','Adm-clerical','Wife','Black','Female',0,0,40,'United-States','<=50K'
48,'Local-gov',148121,'Bachelors',13,'Married-spouse-absent','Adm-clerical','Unmarried','Asian-Pac-Islander','Female',0,0,40,'Philippines','<=50K'
43,'Private',143583,'10th',6,'Married-civ-spouse','Handlers-cleaners','Husband','Black','Male',0,0,40,'United-States','<=50K'
43,'Private',159549,'HS-grad',9,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
51,'Private',82783,'HS-grad',9,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
33,'Private',578701,'Bachelors',13,'Married-civ-spouse','Exec-managerial','Husband','Black','Male',0,0,40,'United-States','<=50K'
23,'Private',315065,'10th',6,'Never-married','Other-service','Unmarried','White','Male',0,0,60,'Mexico','<=50K'
37,'Federal-gov',289653,'Some-college',10,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
25,'Private',256263,'Assoc-acdm',12,'Married-civ-spouse','Sales','Husband','White','Male',0,0,40,'United-States','<=50K'
42,'Private',103932,'Assoc-voc',11,'Divorced','Prof-specialty','Unmarried','White','Female',0,0,40,'United-States','<=50K'
38,'Local-gov',181721,'Bachelors',13,'Married-civ-spouse','Exec-managerial','Husband','Black','Male',0,0,40,'United-States','<=50K'
27,'Private',163942,'HS-grad',9,'Never-married','Craft-repair','Not-in-family','White','Male',0,0,35,'Ireland','<=50K'
50,'Private',158284,'Some-college',10,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'United-States','<=50K'
60,'Self-emp-not-inc',21101,'HS-grad',9,'Married-civ-spouse','Farming-fishing','Husband','Amer-Indian-Eskimo','Male',0,0,50,'United-States','<=50K'
59,'Private',169639,'Assoc-acdm',12,'Widowed','Exec-managerial','Unmarried','White','Female',0,0,40,'United-States','<=50K'
34,'Local-gov',243867,'11th',7,'Separated','Machine-op-inspct','Not-in-family','Black','Male',0,0,40,'United-States','<=50K'
27,'Private',114158,'Assoc-voc',11,'Never-married','Adm-clerical','Own-child','White','Female',0,0,35,'United-States','<=50K'
30,'Private',103649,'Some-college',10,'Never-married','Other-service','Own-child','Black','Female',0,0,40,'United-States','<=50K'
32,'Self-emp-not-inc',134727,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'United-States','<=50K'
21,'Private',278254,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','Black','Male',0,0,40,'United-States','<=50K'
39,'State-gov',152023,'11th',7,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
39,'Private',278187,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'United-States','<=50K'
18,'Private',104704,'HS-grad',9,'Never-married','Adm-clerical','Own-child','Black','Male',0,0,40,'United-States','<=50K'
50,'Self-emp-not-inc',391016,'Bachelors',13,'Divorced','Exec-managerial','Not-in-family','White','Male',0,0,30,'United-States','<=50K'
26,'Private',291968,'HS-grad',9,'Married-civ-spouse','Transport-moving','Husband','White','Male',0,0,44,'United-States','<=50K'
33,'Private',112900,'HS-grad',9,'Divorced','Other-service','Unmarried','White','Female',0,0,40,'United-States','<=50K'
49,'Local-gov',67001,'HS-grad',9,'Married-civ-spouse','Transport-moving','Husband','White','Male',0,0,40,'United-States','<=50K'
28,'Private',115438,'Bachelors',13,'Never-married','Adm-clerical','Own-child','White','Male',0,0,40,'United-States','<=50K'
25,'Private',397317,'Assoc-acdm',12,'Never-married','Prof-specialty','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
46,'Self-emp-not-inc',177407,'HS-grad',9,'Married-civ-spouse','Sales','Husband','White','Male',0,0,50,'United-States','<=50K'
25,'Private',181666,'Assoc-acdm',12,'Never-married','Tech-support','Own-child','White','Female',0,0,40,'United-States','<=50K'
44,'Private',231348,'Some-college',10,'Divorced','Sales','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
59,'Private',261816,'Some-college',10,'Divorced','Exec-managerial','Not-in-family','White','Female',0,0,52,'Outlying-US(Guam-USVI-etc)','<=50K'
27,'Private',179565,'Bachelors',13,'Never-married','Adm-clerical','Not-in-family','White','Female',0,0,37,'United-States','<=50K'
23,'Private',278391,'HS-grad',9,'Never-married','Transport-moving','Own-child','White','Male',0,0,40,'United-States','<=50K'
37,'Self-emp-not-inc',24106,'HS-grad',9,'Married-civ-spouse','Tech-support','Husband','White','Male',0,0,30,'United-States','<=50K'
33,'State-gov',167474,'10th',6,'Married-civ-spouse','Handlers-cleaners','Husband','White','Male',0,0,40,'United-States','<=50K'
17,'Private',144114,'10th',6,'Never-married','Prof-specialty','Own-child','White','Male',0,0,40,'United-States','<=50K'
49,'Private',168216,'7th-8th',4,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,48,'United-States','<=50K'
76,'Local-gov',169133,'Some-college',10,'Widowed','Adm-clerical','Not-in-family','White','Female',0,0,30,'United-States','<=50K'
26,'Private',205036,'HS-grad',9,'Never-married','Handlers-cleaners','Not-in-family','White','Male',0,0,42,'United-States','<=50K'
21,'Private',192572,'HS-grad',9,'Never-married','Adm-clerical','Own-child','White','Female',0,0,45,'United-States','<=50K'
49,'Private',178749,'Masters',14,'Married-spouse-absent','Adm-clerical','Unmarried','White','Female',0,0,40,'United-States','<=50K'
20,'Private',142233,'HS-grad',9,'Never-married','Sales','Not-in-family','White','Female',0,0,35,'United-States','<=50K'
34,'Private',85374,'HS-grad',9,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
66,'Private',302072,'Assoc-acdm',12,'Divorced','Adm-clerical','Unmarried','White','Female',0,0,40,'United-States','<=50K'
36,'Private',209629,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'United-States','<=50K'
20,'Private',256240,'HS-grad',9,'Never-married','Other-service','Own-child','White','Male',0,0,30,'United-States','<=50K'
44,'Private',190205,'7th-8th',4,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,25,'United-States','<=50K'
44,'Private',43711,'Bachelors',13,'Never-married','Other-service','Not-in-family','White','Male',0,0,48,'United-States','<=50K'
20,'Private',344492,'HS-grad',9,'Separated','Sales','Own-child','White','Female',0,0,26,'United-States','<=50K'
22,'Private',208946,'Some-college',10,'Never-married','Adm-clerical','Own-child','White','Male',0,0,25,'United-States','<=50K'
33,'Private',103435,'Assoc-voc',11,'Separated','Prof-specialty','Not-in-family','White','Male',0,0,45,'United-States','<=50K'
37,'Private',227128,'5th-6th',3,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
24,'Private',295763,'Bachelors',13,'Never-married','Exec-managerial','Own-child','White','Female',0,0,50,'United-States','<=50K'
31,'Private',178841,'HS-grad',9,'Never-married','Adm-clerical','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
43,'Private',177083,'Some-college',10,'Divorced','Tech-support','Unmarried','White','Female',0,0,30,'United-States','<=50K'
56,'Private',101436,'HS-grad',9,'Divorced','Adm-clerical','Other-relative','Amer-Indian-Eskimo','Female',0,0,35,'United-States','<=50K'
18,'Private',387641,'Some-college',10,'Never-married','Prof-specialty','Own-child','White','Male',0,0,40,'United-States','<=50K'
50,'Private',71898,'5th-6th',3,'Married-civ-spouse','Machine-op-inspct','Wife','Asian-Pac-Islander','Female',0,0,35,'Philippines','<=50K'
32,'Private',236770,'Some-college',10,'Divorced','Sales','Not-in-family','White','Male',0,0,50,'United-States','<=50K'
65,'Private',198019,'HS-grad',9,'Widowed','Prof-specialty','Not-in-family','White','Female',0,0,35,'United-States','<=50K'
19,'Private',318822,'HS-grad',9,'Never-married','Adm-clerical','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
23,'Private',202989,'HS-grad',9,'Never-married','Prof-specialty','Not-in-family','White','Male',0,0,40,'Canada','<=50K'
32,'Private',425622,'HS-grad',9,'Married-civ-spouse','Transport-moving','Husband','White','Male',0,0,55,'United-States','<=50K'
27,'State-gov',291196,'Bachelors',13,'Never-married','Prof-specialty','Not-in-family','Black','Male',0,0,40,'United-States','<=50K'
32,'Private',34437,'HS-grad',9,'Never-married','Transport-moving','Own-child','White','Male',0,0,40,'United-States','<=50K'
30,'Private',186420,'Bachelors',13,'Never-married','Tech-support','Not-in-family','White','Female',0,0,35,'United-States','<=50K'
36,'Self-emp-not-inc',135416,'Some-college',10,'Married-civ-spouse','Other-service','Wife','White','Female',0,0,50,'United-States','<=50K'
20,'Private',122971,'Some-college',10,'Never-married','Sales','Own-child','White','Male',0,0,35,'United-States','<=50K'
44,'Local-gov',101689,'Some-college',10,'Divorced','Adm-clerical','Unmarried','White','Female',0,0,40,'United-States','<=50K'
24,'Private',37072,'Some-college',10,'Never-married','Craft-repair','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
19,'Private',217039,'Some-college',10,'Never-married','Adm-clerical','Own-child','White','Male',0,0,28,'United-States','<=50K'
41,'State-gov',197558,'Bachelors',13,'Divorced','Exec-managerial','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
31,'Private',114691,'HS-grad',9,'Never-married','Sales','Own-child','White','Male',0,0,40,'United-States','<=50K'
29,'Private',267034,'11th',7,'Never-married','Craft-repair','Own-child','Black','Male',0,0,40,'Haiti','<=50K'
47,'Local-gov',37672,'Bachelors',13,'Married-civ-spouse','Prof-specialty','Wife','White','Female',0,0,45,'United-States','<=50K'
23,'Private',27415,'11th',7,'Never-married','Prof-specialty','Own-child','Amer-Indian-Eskimo','Male',0,0,40,'United-States','<=50K'
44,'Private',187629,'Assoc-acdm',12,'Never-married','Craft-repair','Not-in-family','White','Male',0,0,25,'United-States','<=50K'
28,'Local-gov',296537,'HS-grad',9,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,45,'United-States','<=50K'
46,'Private',106255,'Some-college',10,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
35,'Private',234271,'Some-college',10,'Divorced','Adm-clerical','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
18,'Private',237646,'Some-college',10,'Never-married','Adm-clerical','Own-child','White','Male',0,0,30,'United-States','<=50K'
21,'Private',166517,'HS-grad',9,'Never-married','Craft-repair','Own-child','White','Male',0,0,40,'United-States','<=50K'
49,'Local-gov',177114,'Masters',14,'Divorced','Prof-specialty','Not-in-family','White','Female',0,0,60,'United-States','<=50K'
24,'Private',266926,'Some-college',10,'Married-civ-spouse','Handlers-cleaners','Husband','White','Male',0,0,40,'United-States','<=50K'
35,'Private',155961,'HS-grad',9,'Never-married','Other-service','Own-child','Black','Female',0,0,35,'Jamaica','<=50K'
39,'Private',192251,'10th',6,'Divorced','Other-service','Not-in-family','White','Female',0,0,60,'United-States','<=50K'
24,'Self-emp-inc',234663,'Bachelors',13,'Never-married','Exec-managerial','Own-child','White','Male',0,0,40,'United-States','<=50K'
42,'Private',175935,'HS-grad',9,'Separated','Prof-specialty','Unmarried','White','Male',0,0,40,'United-States','<=50K'
24,'Private',107882,'HS-grad',9,'Never-married','Sales','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
25,'Private',71351,'1st-4th',2,'Never-married','Other-service','Other-relative','White','Male',0,0,25,'El-Salvador','<=50K'
41,'Local-gov',160893,'Preschool',1,'Never-married','Handlers-cleaners','Own-child','White','Female',0,0,30,'United-States','<=50K'
37,'Private',177181,'HS-grad',9,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
50,'Local-gov',36489,'10th',6,'Never-married','Other-service','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
17,'Private',19752,'11th',7,'Never-married','Other-service','Own-child','Black','Female',0,0,25,'United-States','<=50K'
44,'Private',367749,'Bachelors',13,'Never-married','Prof-specialty','Not-in-family','White','Female',0,0,45,'Mexico','<=50K'
31,'Local-gov',204470,'Masters',14,'Never-married','Prof-specialty','Not-in-family','White','Male',0,0,43,'United-States','<=50K'
42,'Private',219288,'7th-8th',4,'Widowed','Craft-repair','Unmarried','White','Male',0,0,40,'United-States','<=50K'
33,'Private',155475,'HS-grad',9,'Married-civ-spouse','Sales','Husband','White','Male',0,0,40,'United-States','<=50K'
33,'Private',102821,'12th',8,'Married-civ-spouse','Protective-serv','Husband','White','Male',0,0,40,'United-States','<=50K'
39,'Private',324231,'HS-grad',9,'Widowed','Machine-op-inspct','Unmarried','Black','Female',0,0,40,'United-States','<=50K'
43,'Private',214781,'Masters',14,'Married-civ-spouse','Exec-managerial','Husband','White','Male',0,0,45,'United-States','<=50K'
57,'Local-gov',343447,'HS-grad',9,'Divorced','Protective-serv','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
30,'Private',374454,'HS-grad',9,'Divorced','Transport-moving','Own-child','Black','Male',0,0,40,'United-States','<=50K'
65,'Private',143554,'Some-college',10,'Separated','Adm-clerical','Not-in-family','White','Female',0,0,38,'United-States','<=50K'
25,'Private',404951,'Bachelors',13,'Never-married','Exec-managerial','Not-in-family','Black','Female',0,0,38,'United-States','<=50K'
53,'Private',122412,'Bachelors',13,'Never-married','Prof-specialty','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
30,'Private',189620,'Bachelors',13,'Never-married','Prof-specialty','Own-child','White','Female',0,0,40,'Poland','<=50K'
26,'Private',386585,'Some-college',10,'Divorced','Tech-support','Not-in-family','White','Male',0,0,60,'United-States','<=50K'
42,'Private',152889,'10th',6,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,45,'United-States','<=50K'
63,'Private',181828,'HS-grad',9,'Married-civ-spouse','Sales','Husband','White','Male',0,0,48,'United-States','<=50K'
20,'Private',219835,'Some-college',10,'Never-married','Handlers-cleaners','Not-in-family','White','Male',0,0,30,'United-States','<=50K'
88,'Self-emp-not-inc',206291,'Prof-school',15,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,40,'United-States','<=50K'
27,'Private',284741,'Some-college',10,'Never-married','Sales','Not-in-family','White','Female',0,0,30,'United-States','<=50K'
35,'Private',243357,'11th',7,'Separated','Other-service','Unmarried','Black','Female',0,0,40,'United-States','<=50K'
42,'Private',132633,'HS-grad',9,'Never-married','Priv-house-serv','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
43,'Private',193490,'7th-8th',4,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,45,'United-States','<=50K'
53,'Private',291755,'Assoc-voc',11,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
39,'State-gov',152307,'Bachelors',13,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,40,'United-States','<=50K'
40,'Private',213019,'HS-grad',9,'Divorced','Sales','Unmarried','White','Female',0,0,30,'United-States','<=50K'
28,'Private',309196,'Bachelors',13,'Never-married','Protective-serv','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
27,'Self-emp-inc',376936,'HS-grad',9,'Never-married','Sales','Not-in-family','White','Male',0,0,50,'United-States','<=50K'
66,'Private',216856,'Masters',14,'Married-civ-spouse','Sales','Husband','White','Male',0,0,50,'United-States','<=50K'
50,'Private',104729,'HS-grad',9,'Divorced','Machine-op-inspct','Other-relative','White','Female',0,0,48,'United-States','<=50K'
30,'Private',342709,'HS-grad',9,'Married-civ-spouse','Handlers-cleaners','Husband','White','Male',0,0,40,'United-States','<=50K'
63,'Private',174826,'HS-grad',9,'Divorced','Other-service','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
27,'Private',193122,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'United-States','<=50K'
39,'Private',234901,'Assoc-acdm',12,'Separated','Adm-clerical','Unmarried','White','Male',0,0,40,'United-States','<=50K'
56,'Private',261232,'HS-grad',9,'Never-married','Craft-repair','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
22,'Private',203182,'Bachelors',13,'Never-married','Exec-managerial','Unmarried','White','Female',0,0,30,'United-States','<=50K'
29,'Private',375482,'Bachelors',13,'Never-married','Prof-specialty','Not-in-family','White','Male',0,0,50,'England','<=50K'
52,'Private',183618,'HS-grad',9,'Married-civ-spouse','Handlers-cleaners','Husband','White','Male',0,0,40,'United-States','<=50K'
30,'Private',173350,'Assoc-voc',11,'Married-spouse-absent','Adm-clerical','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
31,'Private',377374,'Some-college',10,'Divorced','Adm-clerical','Unmarried','Black','Female',0,0,40,'Japan','<=50K'
28,'Private',331381,'Bachelors',13,'Never-married','Adm-clerical','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
35,'Private',187112,'Bachelors',13,'Never-married','Other-service','Not-in-family','White','Female',0,0,45,'United-States','<=50K'
18,'Self-emp-not-inc',296090,'HS-grad',9,'Never-married','Sales','Own-child','White','Male',0,0,48,'United-States','<=50K'
17,'Private',202521,'11th',7,'Never-married','Prof-specialty','Own-child','White','Male',0,0,40,'United-States','<=50K'
39,'Private',337898,'Bachelors',13,'Divorced','Exec-managerial','Not-in-family','White','Male',0,0,55,'United-States','<=50K'
40,'Private',169995,'HS-grad',9,'Divorced','Craft-repair','Unmarried','White','Male',0,0,40,'United-States','<=50K'
19,'Private',35865,'Some-college',10,'Never-married','Handlers-cleaners','Not-in-family','White','Female',0,0,35,'United-States','<=50K'
50,'Private',89534,'HS-grad',9,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,40,'United-States','<=50K'
49,'Private',259087,'Some-college',10,'Divorced','Craft-repair','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
28,'Private',159001,'HS-grad',9,'Never-married','Handlers-cleaners','Own-child','White','Male',0,0,30,'United-States','<=50K'
48,'Private',178686,'HS-grad',9,'Divorced','Craft-repair','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
21,'Private',25265,'HS-grad',9,'Never-married','Craft-repair','Own-child','White','Male',0,0,40,'United-States','<=50K'
